"","Date","^GSPC","KL","RGLD","AU","SSRM","SA","GOOG","AMZN","AAPL","MSFT","INTC","SPG","CCI","PLD","PSA","EQR","EC","XOM","CVX","PTR","BP","TOT","JNJ","UNH","PFE","MRK","NVS","ABT"
"29","2013-05-01",1630.73999,5.405581,50.25766,17.71582,7.86,12.09,432.795074,269.200012,47.541779,30.158579,20.26408,125.372208,58.77972,33.180164,123.481773,41.72237,33.598999,73.629654,97.101456,98.43499,29.917698,36.097786,71.347069,56.766838,22.048555,38.65839,52.496784,32.326588
"30","2013-06-01",1606.280029,4.375946,38.620201,14.011274,6.34,9.43,437.340515,277.690002,43.940441,30.056787,20.412844,119.771332,59.720196,31.055965,124.726334,42.836449,32.599171,74.040642,94.367851,95.83609,29.462976,35.265038,73.317978,59.350048,22.869198,38.451439,51.728645,30.7486
"31","2013-07-01",1685.72998,3.445314,47.440071,12.904089,7.67,11.17,441.006683,301.220001,50.14592,27.707241,19.663054,121.394402,57.954739,31.809774,130.57901,41.619267,35.33514,76.826904,100.388451,100.953949,29.251211,38.999226,79.84198,66.612755,23.865288,40.241474,52.387043,32.291328
"32","2013-08-01",1632.969971,4.465049,53.502266,13.100051,8.43,14.34,420.713654,280.980011,53.990002,29.064754,18.517303,110.450233,57.269997,29.222525,125.207199,38.564713,34.614334,71.426506,96.034485,94.216751,29.152386,40.660652,73.787636,65.597801,23.220324,39.506313,53.389286,29.501083
"33","2013-09-01",1681.550049,3.435414,44.863354,13.011868,6.15,10.46,435.124939,312.640015,55.372272,29.164402,19.498156,113.31469,60.248196,31.196125,131.669724,39.813282,35.652924,70.996002,97.688126,95.212593,30.055574,42.579365,74.584496,65.478943,23.64835,39.773647,56.118004,29.377167
"34","2013-10-01",1756.540039,3.60372,44.291725,14.795122,5.63,9.45,511.960205,364.029999,60.709133,31.030996,20.816751,118.146019,62.714863,33.377949,138.027771,39.191528,36.707005,73.950035,96.449944,100.449219,33.252068,45.609867,79.67778,62.650799,25.261669,38.007935,56.732513,32.351177
"35","2013-11-01",1805.810059,2.871096,41.743042,13.31561,5.97,7.26,526.37146,393.619995,64.584915,33.414627,20.280809,114.553108,61.238159,31.690254,126.231277,38.577744,31.645844,77.135109,98.443909,105.566132,33.616768,44.968727,81.441521,68.359673,26.11772,42.003448,57.881073,33.946053
"36","2013-12-01",1848.359985,2.544385,42.650303,11.483366,6.96,7.3,556.734009,398.790009,67.919533,33.032299,22.291035,117.31797,60.578182,30.871471,124.429192,38.824757,29.801189,84.073471,101.27314,97.318771,35.187763,45.676968,79.350342,69.112297,25.407475,42.188889,58.802837,34.070492
"37","2014-01-01",1782.589966,3.207707,52.02993,14.34441,7.83,8.03,586.669312,358.690002,60.604813,33.411968,21.071728,119.384331,58.540478,32.635525,131.463379,41.978249,26.553673,76.563354,90.506119,85.054184,33.942688,43.216358,76.647293,66.593361,25.216688,45.055241,57.844494,32.586063
"38","2014-02-01",1859.449951,3.999733,63.907352,17.22505,10.31,8.68,603.897217,362.100006,63.708912,33.826984,21.260637,124.357376,62.615883,34.681557,140.98175,44.320488,26.607931,79.977783,93.505989,93.647362,36.635525,49.059681,79.809517,71.190765,26.635126,48.474583,60.851204,35.557045
"39","2014-03-01",1872.339966,3.336411,58.243019,16.735146,9.93,7.08,555.445007,336.369995,67.804207,36.464771,22.373575,127.511124,60.866909,34.378437,140.55632,43.956631,31.614838,81.723915,97.264885,96.219131,35.231709,49.588821,85.715393,75.539406,26.865595,48.287449,64.293091,34.421856
"40","2014-04-01",1883.949951,3.059201,61.572788,17.73455,9.91,7.99,523.779968,304.130005,74.543709,35.939903,23.13641,134.664154,60.282455,34.488518,147.644211,45.452503,29.057133,85.681282,102.671654,102.267189,37.077526,54.524471,88.385551,69.386002,26.163012,50.198788,65.745026,34.627453
"41","2014-05-01",1923.569946,2.643388,58.530712,15.47119,6.54,7,556.828247,312.549988,79.964378,36.420288,23.682531,137.577484,63.597889,35.235493,145.011169,47.257141,30.031609,84.108368,100.438606,105.441978,36.953003,53.154461,88.53389,73.630157,24.782923,49.598728,68.104408,35.975033
"42","2014-06-01",1960.22998,3.514617,71.044983,16.862518,8.66,9.38,572.134094,324.779999,85.50061,37.358082,27.016037,138.525162,61.55061,34.878986,144.144699,48.174751,29.653233,84.805763,107.697601,113.709839,39.084957,55.919178,91.927551,75.590424,25.046019,49.590153,68.459824,36.775288
"43","2014-07-01",1930.670044,3.752225,70.522392,16.842924,9.18,9.37,568.474243,312.98999,87.957153,38.66608,29.630219,140.116364,61.779442,34.914406,145.550934,49.839638,27.753124,83.340103,106.616913,116.897873,36.284176,49.955513,87.947136,75.295372,24.21903,49.005291,65.745026,37.872242
"44","2014-08-01",2003.369995,5.405581,72.757492,16.835873,9.37,11.59,568.474243,339.040009,94.305519,40.699707,30.530752,141.649185,66.218445,35.02562,148.578796,51.242699,28.444071,83.778114,106.790138,128.427353,35.446907,51.086285,91.145515,80.52562,25.020109,51.915894,67.938042,38.183846
"45","2014-09-01",1972.290039,4.900663,60.77005,11.759632,6.1,8.04,574.202698,322.440002,93.156509,41.792278,30.645823,138.049408,67.067902,32.253685,140.657074,47.472931,25.721405,79.772972,99.270012,116.390701,32.961643,49.916771,94.29203,80.126144,25.173344,51.199039,71.18219,37.596256
"46","2014-10-01",2018.050049,3.465115,53.480259,8.104346,4.37,6.4,556.022705,305.459991,99.860077,42.324146,29.932934,150.4673,65.349533,35.937218,157.626373,54.058754,22.044567,82.029205,99.794136,115.794632,32.594135,46.945972,95.344749,88.639519,25.496843,50.406731,70.093246,39.404202
"47","2014-11-01",2067.560059,3.049301,59.784283,8.388537,5.19,7.26,538.867004,338.640015,109.966301,43.099422,32.784523,151.802277,69.507057,36.480793,160.439621,55.05352,16.689713,76.795815,90.575981,98.743759,29.489223,43.606682,95.760536,92.016808,26.518417,52.546883,73.087845,40.449619
"48","2014-12-01",2058.899902,3.31661,58.864239,8.525733,5.01,7.55,523.521423,310.350006,102.503265,42.13752,32.149021,154.010742,65.834709,37.127926,158.062469,55.830666,14.082202,78.98201,94.19529,102.379066,29.007114,40.13414,93.107582,94.311859,26.748089,49.40625,70.070564,40.913097
"49","2015-01-01",1994.98999,4.465049,68.266632,12.132021,6.17,9.22,531.594604,354.529999,108.799446,36.649212,29.269875,168.007095,73.162933,39.255199,173.040131,60.722103,13.407702,74.684784,86.092377,100.173897,29.547386,40.951515,89.163177,99.499641,26.833956,52.838913,73.654999,40.676811
"50","2015-02-01",2104.5,4.129527,67.927467,11.044254,5.26,7.77,555.343933,380.160004,119.293083,39.778904,29.455917,160.987778,72.993774,37.141994,169.921173,60.268311,13.753177,75.641624,89.577049,107.370712,31.533445,42.636971,91.273384,106.410759,29.470127,51.313702,77.436058,43.2766
"51","2015-03-01",2067.889893,5.385779,59.457741,9.152913,4.53,5.49,545.000854,372.100006,116.006676,37.147564,27.900549,166.651077,69.805428,37.88118,169.852295,60.91769,12.51934,73.163918,89.01564,102.609734,30.199718,39.480728,90.19976,110.774704,30.137251,50.384548,74.570023,42.326473
"52","2015-04-01",2085.51001,5.831295,61.006725,11.103052,5.45,6.34,537.340027,421.779999,116.677956,44.43821,29.042627,154.597778,71.326599,35.258221,163.128647,58.187904,14.082202,75.203896,94.171043,118.950142,33.327023,43.618259,88.944489,104.671478,29.392258,52.63026,79.160011,42.408684
"53","2015-05-01",2107.389893,6.435215,61.233627,9.388106,6.22,6.14,532.109985,429.230011,121.460663,42.811974,30.746811,154.521057,69.635864,34.723209,168.016144,58.550312,11.927098,73.336067,87.336739,109.326744,32.014324,40.707687,89.7873,112.949348,30.102592,53.805511,79.883171,44.627464
"54","2015-06-01",2063.110107,4.47485,58.227253,8.770724,6.28,6.11,520.51001,434.089996,117.427444,40.598217,27.338409,148.591339,68.568481,32.539299,160.055496,55.280872,10.907125,72.206886,82.614853,102.240669,31.291679,39.643425,88.021591,114.631233,29.286083,50.306252,76.46949,45.068237
"55","2015-07-01",2103.840088,3.616293,47.837029,5.997412,5.75,4.04,625.609985,536.150024,113.560951,42.943081,26.017319,160.786392,70.641762,35.942936,179.75322,59.393288,10.036316,68.74408,75.7724,92.063072,28.950291,40.269245,90.505264,114.550598,31.495869,52.496368,80.676331,46.546623
